time,wx (rad/s),wy (rad/s),wz (rad/s)
0.865607,-0.01,0.03,0.00
0.868460,-0.02,0.04,0.00
0.870084,-0.00,-0.02,0.00
0.872208,-0.00,-0.02,-0.02
0.877395,0.00,0.00,-0.01
0.877673,-0.02,0.02,0.00
0.877808,0.00,-0.01,0.01
0.880347,-0.02,0.01,-0.00
0.881647,-0.02,-0.00,-0.00
0.884442,0.00,-0.03,0.00
0.885647,-0.01,0.02,0.01
0.888257,-0.02,0.05,0.00
0.889325,-0.00,0.01,0.01
0.892243,-0.00,0.00,-0.01
0.893477,-0.01,-0.01,0.01
0.897599,-0.00,-0.02,0.00
0.897876,0.00,0.01,0.01
0.900253,-0.01,0.02,0.00
0.901695,-0.01,0.00,-0.00
0.904330,0.00,-0.00,-0.00
0.906800,-0.01,0.02,-0.01
0.908457,-0.01,0.01,0.00
0.909682,-0.00,0.00,0.01
0.912707,-0.01,-0.00,-0.00
0.913335,-0.01,-0.03,0.01
0.916459,0.01,-0.02,0.01
0.917248,-0.01,0.04,0.01
0.920160,-0.02,0.02,-0.01
0.921406,0.00,-0.01,-0.00
0.924726,-0.01,-0.00,-0.01
0.927724,0.00,-0.01,-0.01
0.928304,-0.00,0.01,0.01
0.929334,-0.01,0.03,-0.00
0.932156,-0.00,-0.03,-0.00
0.933482,0.01,-0.02,-0.01
0.936172,0.00,0.02,-0.01
0.937365,-0.02,0.03,0.01
0.940658,0.01,-0.03,0.00
0.941477,0.01,-0.01,0.01
0.944214,-0.02,0.04,0.01
0.945457,-0.01,-0.04,0.00
0.948589,0.01,-0.01,-0.00
0.949512,-0.01,0.01,0.00
0.952625,-0.02,0.04,0.00
0.953528,-0.01,-0.01,-0.00
0.956485,-0.01,-0.01,-0.01
0.957509,-0.01,-0.01,-0.00
0.960182,0.00,-0.00,0.01
0.961573,-0.01,0.03,0.01
0.964267,-0.02,-0.00,0.01
0.965493,0.01,-0.03,-0.01
0.968209,-0.02,0.04,-0.00
0.969372,-0.01,0.02,0.00
0.972279,0.01,-0.03,0.00
0.974494,-0.02,0.04,-0.00
0.976405,-0.01,0.01,-0.01
0.977509,-0.00,-0.03,0.00
0.980455,-0.00,-0.01,0.01
0.981402,-0.02,0.04,-0.01
0.984199,0.00,-0.01,-0.01
0.985530,-0.00,-0.04,-0.01
0.988286,-0.03,0.00,-0.00
0.989266,0.00,0.01,0.02
0.992353,-0.01,0.01,-0.01
0.994191,-0.01,0.03,0.01
0.996489,-0.01,-0.01,0.00
0.997237,-0.00,-0.03,-0.00
1.000535,0.00,-0.01,-0.01
1.001317,-0.02,0.05,-0.00
1.004064,-0.02,0.02,0.01
1.005538,-0.00,-0.03,-0.00
1.009093,-0.00,0.01,-0.00
1.010053,-0.01,0.03,0.01
1.012352,-0.00,0.01,0.01
1.013697,-0.01,-0.03,0.01
1.016528,-0.00,0.02,-0.00
1.017858,-0.01,0.04,0.00
1.020363,-0.01,-0.01,0.00
1.021361,0.01,-0.01,-0.01
1.024324,-0.01,0.02,0.01
1.025581,-0.01,0.04,0.00
1.028604,-0.01,0.00,-0.01
1.029437,-0.01,-0.04,0.00
1.032527,0.00,-0.03,0.00
1.033437,-0.01,0.01,0.01
1.036481,-0.01,-0.00,0.00
1.037687,0.00,0.01,0.01
1.041567,-0.02,0.04,-0.00
1.042191,-0.01,0.01,-0.01
1.044392,-0.00,-0.02,-0.00
1.045798,0.00,-0.02,0.00
1.048577,-0.02,0.03,0.01
1.049663,0.00,-0.00,0.01
1.052409,-0.00,0.01,-0.01
1.053312,-0.02,0.01,-0.00
1.056604,-0.00,-0.03,-0.01
1.058291,0.00,-0.03,0.00
1.060556,-0.01,0.01,0.01
1.061997,-0.01,0.04,0.01
1.064412,-0.01,0.01,-0.01
1.070053,0.00,-0.02,-0.01
1.070352,-0.01,-0.02,0.00
1.070534,0.00,-0.01,-0.00
1.072541,0.01,-0.02,0.00
1.074931,-0.01,0.01,0.01
1.076654,-0.00,0.04,0.01
1.077856,-0.01,0.03,-0.00
1.080546,0.01,-0.07,-0.01
1.081802,0.01,-0.02,-0.01
1.084766,-0.03,0.04,0.01
1.085640,-0.03,0.04,0.01
1.088512,0.00,0.00,0.01
1.089455,-0.02,0.02,-0.00
1.093020,-0.02,-0.01,-0.02
1.093993,0.02,-0.06,0.00
1.096339,-0.01,0.05,0.01
1.099014,-0.03,0.03,-0.00
1.100371,-0.00,-0.01,-0.00
1.102072,0.00,-0.03,-0.01
1.105128,-0.01,0.00,0.00
1.105583,-0.01,0.02,0.00
1.108518,-0.01,0.04,-0.00
1.111392,-0.02,-0.02,0.01
1.112710,-0.00,-0.03,-0.00
1.113657,-0.01,0.03,-0.01
1.116368,-0.02,-0.00,0.01
1.118115,0.01,-0.01,0.00
1.120496,0.00,0.01,-0.00
1.122970,-0.02,0.02,0.01
1.124403,0.00,-0.01,-0.01
1.126331,0.01,-0.00,-0.00
1.128618,-0.01,0.00,0.01
1.133182,-0.01,0.01,-0.00
1.133422,-0.01,0.02,-0.00
1.133855,-0.01,0.01,-0.01
1.136368,-0.00,0.00,-0.00
1.137704,-0.01,0.00,-0.00
1.140760,-0.00,-0.02,0.00
1.141506,-0.01,0.01,-0.00
1.144709,0.00,0.01,0.01
1.145707,-0.01,-0.00,-0.00
1.148678,-0.01,0.01,-0.00
