time,gFx,gFy,gFz,TgF
0.697042,0.1344,-0.0369,0.9926,1.002
0.698115,0.1226,-0.0271,0.9987,1.007
0.702545,0.0738,0.0227,1.0153,1.018
0.703106,0.1209,0.0144,0.9526,0.960
0.706194,0.1080,-0.0235,0.9159,0.923
0.706728,0.0730,-0.0071,0.9433,0.946
0.708984,0.1109,-0.0093,1.0657,1.071
0.710574,0.0806,-0.0117,1.0608,1.064
0.713748,0.0980,-0.0149,0.9907,0.996
0.714247,0.0489,0.0002,0.9118,0.913
0.717935,0.1033,0.0024,0.9775,0.983
0.718488,0.0858,-0.0107,0.9870,0.991
0.721940,0.0728,0.0120,1.0268,1.029
0.722481,0.1160,-0.0173,1.0254,1.032
0.728608,0.0977,-0.0044,0.9987,1.004
0.729450,0.0586,-0.0066,0.9311,0.933
0.729842,0.1011,-0.0061,0.9621,0.967
0.730173,0.0694,-0.0112,0.9836,0.986
0.733510,0.0992,-0.0257,0.9955,1.001
0.734056,0.1361,0.0034,1.0178,1.027
0.737690,0.0528,0.0081,0.9428,0.944
0.738246,0.0603,0.0110,0.8966,0.899
0.743188,0.1055,-0.0117,0.9306,0.937
0.744305,0.1444,-0.0127,0.9916,1.002
0.745652,0.1007,-0.0247,1.0065,1.012
0.746253,0.1383,-0.0059,1.0239,1.033
0.749557,0.0298,-0.0134,0.9672,0.968
0.750148,0.1036,0.0029,0.9066,0.913
0.753538,0.0816,-0.0161,0.9342,0.938
0.754107,0.1021,-0.0076,0.9687,0.974
0.758458,0.1529,-0.0210,1.0078,1.020
0.759441,0.1886,-0.0315,1.0471,1.064
0.761543,0.0713,-0.0100,0.9951,0.998
0.762139,0.1217,0.0002,0.9995,1.007
0.765812,0.1297,0.0117,0.9987,1.007
0.766400,0.0999,-0.0086,0.9650,0.970
0.769356,0.1410,-0.0017,0.9684,0.979
0.770116,0.1593,-0.0129,1.0298,1.042
0.773545,0.1077,-0.0005,1.0300,1.036
0.774168,0.1358,-0.0161,0.9679,0.978
0.777264,0.1385,-0.0173,0.9738,0.984
0.778060,0.1102,-0.0164,1.0569,1.063
0.781303,0.0999,0.0042,1.0412,1.046
0.782379,0.0987,-0.0059,0.9699,0.975
0.785801,0.1463,-0.0215,0.9562,0.968
0.786372,0.1058,-0.0220,0.9313,0.938
0.789508,0.0884,-0.0291,0.9223,0.927
0.791305,0.1857,-0.0217,1.0276,1.044
0.793415,0.1397,-0.0132,1.0461,1.055
0.795343,0.0767,0.0103,1.0598,1.063
0.797189,0.0110,0.0112,0.9704,0.971
0.798184,0.0684,-0.0107,0.9198,0.922
0.801376,0.0792,-0.0215,0.9435,0.947
0.802125,0.0814,-0.0125,1.0249,1.028
0.805234,0.0564,-0.0147,1.0239,1.026
0.806995,0.0909,-0.0073,0.9977,1.002
