time,gFx,gFy,gFz,TgF
1.003144,0.1138,0.0366,0.9565,0.964
1.004570,0.0699,0.0603,0.9623,0.967
1.006630,0.0508,0.0672,0.9743,0.978
1.008106,0.0691,0.0628,0.9401,0.945
1.010407,0.0740,0.0474,0.9152,0.919
1.011883,0.0684,0.0528,0.9154,0.919
1.014856,0.1087,0.0601,0.9323,0.941
1.016809,0.0630,0.0332,0.9611,0.964
1.019065,0.1002,0.0589,0.9442,0.951
1.020554,0.0787,0.0474,0.9105,0.915
1.023972,0.0640,0.0305,0.9291,0.932
1.026392,0.1244,0.0322,0.9760,0.984
1.027172,0.1131,0.0562,1.0065,1.014
1.028775,0.0127,0.0660,0.9909,0.993
1.031354,0.0904,0.0772,0.8270,0.835
1.032194,0.1102,0.0235,0.8397,0.847
1.034924,0.1094,0.0420,0.9005,0.908
1.036177,0.0579,0.0606,1.0188,1.022
1.038626,0.0892,0.0733,1.0151,1.022
1.041843,0.0760,0.0535,0.9372,0.942
1.042654,0.0469,0.0327,0.8316,0.834
1.045543,0.0982,0.0215,0.9044,0.910
1.046899,0.0799,0.0332,0.9872,0.991
1.048820,0.0618,0.0682,0.9890,0.993
1.052105,0.0858,0.0743,0.9799,0.986
1.052663,0.0882,0.0467,0.9249,0.930
1.056098,0.0667,0.0408,0.8802,0.884
1.056595,0.0882,0.0496,0.9137,0.919
1.059459,0.0618,0.0633,1.0080,1.012
1.060419,0.0508,0.0853,0.9919,0.997
1.063601,0.1007,0.0415,0.8729,0.880
1.064614,0.0972,0.0171,0.9017,0.907
1.067284,0.0999,0.0613,0.9631,0.970
1.068214,0.0577,0.0779,0.9662,0.971
1.070604,0.0533,0.0635,0.9804,0.984
1.072583,0.0972,0.0425,0.9113,0.917
1.080018,0.1126,0.0232,0.8785,0.886
1.081184,0.0525,0.0493,0.9042,0.907
1.081541,0.0523,0.0540,1.0024,1.005
1.081801,0.0577,0.0635,0.9758,0.980
1.082090,0.0757,0.0518,0.9386,0.943
1.084128,0.0371,0.0447,0.8734,0.875
1.086529,0.1190,0.0459,0.8910,0.900
1.088688,0.0919,0.0406,0.9396,0.945
1.090847,0.1094,0.0665,1.0041,1.012
1.110486,0.0691,0.0533,0.9750,0.979
1.111337,0.1055,0.0535,0.9601,0.967
1.111731,0.1060,0.0342,0.9137,0.920
1.112008,0.0581,0.0542,0.9115,0.915
1.112279,0.0997,0.0667,1.0029,1.010
1.112718,0.0640,0.0814,1.0190,1.024
1.113006,0.0809,0.0369,0.9115,0.916
1.113353,0.1361,0.0264,0.8453,0.857
1.113642,0.0855,0.0447,0.8790,0.884
1.113933,0.1119,0.0567,0.9701,0.978
1.114195,0.0870,0.0787,0.9885,0.995
1.114484,0.0733,0.0503,0.9821,0.986
1.116807,0.0784,0.0388,0.9379,0.942
1.118636,0.0826,0.0760,0.8521,0.859
1.120777,0.0911,0.0156,0.9093,0.914
1.122760,0.1041,0.0413,0.9933,1.000
1.125576,0.0730,0.0611,1.0046,1.009
1.126421,0.0892,0.0750,0.9364,0.944
1.129523,0.0887,0.0217,0.8658,0.871
1.131797,0.0794,0.0303,0.8531,0.857
1.132615,0.0513,0.0740,0.9684,0.973
1.135781,0.0987,0.0647,1.0383,1.045
1.136243,0.0533,0.0789,0.9977,1.002
1.139597,0.0704,0.0149,0.8983,0.901
1.144881,0.1148,0.0335,0.8700,0.878
1.145796,0.0953,0.0425,0.8917,0.898
1.146119,0.0682,0.0608,0.9770,0.981
1.146427,0.0359,0.0684,0.9938,0.997
1.149978,0.1275,0.0447,0.9122,0.922
1.150454,0.1102,0.0342,0.8846,0.892
1.153763,0.0450,0.0557,0.9115,0.914
1.154815,0.0740,0.0559,0.9491,0.954
1.157149,0.1229,0.0660,0.9719,0.982
